album_favorites,album_title,artist_favorites,artist_name,track_favorites,track_genre_top,track_genres,track_genres_all,track_interest,track_listens,track_title
0,Arc and Sender,0,Arc and Sender,5,Rock,[26],"[26, 12]",354,424,Hundred-Year Flood
0,Arc and Sender,0,Arc and Sender,1,Rock,[26],"[26, 12]",242,205,Squares And Circles
0,unreleased demo,0,Arc and Sender,1,Rock,[26],"[26, 12]",268,197,Maps of the Stars Homes
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,2,Experimental,[30],"[38, 30]",345,362,Track 01
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,1,Experimental,[30],"[38, 30]",209,190,Track 02
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,1,Experimental,[30],"[38, 30]",213,163,Track 03
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,1,Experimental,[30],"[38, 30]",170,130,Track 04
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,0,Experimental,[30],"[38, 30]",147,110,Track 05
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,0,Experimental,[30],"[38, 30]",175,121,Track 06
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,0,Experimental,[30],"[38, 30]",176,109,Track 07
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,1,Experimental,[30],"[38, 30]",162,94,Track 08
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,0,Experimental,[30],"[38, 30]",138,70,Track 09
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,1,Experimental,[30],"[38, 30]",159,140,Track 10
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,1,Experimental,[30],"[38, 30]",275,180,Track 11
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,1,Experimental,[30],"[38, 30]",149,80,Track 12
0,Thee Haunted Cobblestone Sunset Concert Series #7,9,Area C,0,Experimental,[30],"[38, 30]",151,100,Track 13
0,Boss of Goth,2,Argumentix,1,Rock,[25],"[25, 12]",815,270,Boss of Goth
0,Nightmarcher,2,Argumentix,0,Rock,[25],"[25, 12]",468,122,Industry Standard Massacre
0,Victim of Your Life,2,Argumentix,0,Rock,[25],"[25, 12]",582,242,Marching as Technitions
0,Heir to the Power Bear Fortune,2,Argumentix,0,Rock,[25],"[25, 12]",468,90,I Can't Stand You Up-right
0,Boss of Goth,2,Argumentix,0,Rock,[25],"[25, 12]",475,177,Save Life's Golden Receipt In Case Refund Needed
0,Boss of Goth,2,Argumentix,0,Rock,[25],"[25, 12]",405,116,Senator's Stance
0,Nightmarcher,2,Argumentix,0,Rock,[25],"[25, 12]",365,72,Snapped Today
0,Victim of Your Life,2,Argumentix,0,Rock,[25],"[25, 12]",461,104,Step Up to Legends
0,Boss of Goth,2,Argumentix,0,Rock,[25],"[25, 12]",529,160,Petty Hate Machine
0,"Tarantula Downpour 7""",2,Argumentix,1,Rock,[25],"[25, 12]",287,149,Lend Me a Blanket
0,Dracula Safari,2,Argumentix,0,Rock,[25],"[25, 12]",591,226,Ready to Die
0,Scared Famous,76,Ariel Pink's Haunted Graffiti,8,Rock,[27],"[27, 12]",1736,1339,Gopacapulco
0,Worn Copy,76,Ariel Pink's Haunted Graffiti,19,Rock,[27],"[27, 12]",5990,5547,Jules Lost His Jewels
1,The Doldrums,76,Ariel Pink's Haunted Graffiti,9,Rock,[27],"[27, 12]",1264,869,For Kate I Wait
2,House Arrest,76,Ariel Pink's Haunted Graffiti,9,Rock,[27],"[27, 12]",1197,831,Helen
2,Homemade Hits Vol. 1,76,Ariel Pink's Haunted Graffiti,13,NaN,"[27, 76]","[10, 27, 12, 76]",1426,1043,Want Me
0,Blue Piano,7,Ed Askew,1,Folk,[17],[17],3137,1253,Piano 1
0,What I Know,7,Ed Askew,1,Folk,[17],[17],730,101,The Thought Of It
0,Blue Piano,7,Ed Askew,1,Folk,[17],[17],1758,945,Castle Of Stars
0,What I Know,7,Ed Askew,0,Folk,[17],[17],1224,64,Song About Michael
0,What I Know,7,Ed Askew,1,Folk,[17],[17],472,125,Ed Talk WNYC
0,Blue Piano,7,Ed Askew,0,Folk,[17],[17],1679,824,Here With You
0,Blue Piano,7,Ed Askew,1,Folk,[17],[17],1780,754,All I want to Do
0,What I Know,7,Ed Askew,1,Folk,[17],[17],567,138,I Remember You
0,What I Know,7,Ed Askew,0,Folk,[17],[17],524,75,Bright Mr Brother
0,Blue Piano,7,Ed Askew,1,Folk,[17],[17],2286,833,Piano 2
0,Blue Piano,7,Ed Askew,2,Folk,[17],[17],1784,451,It Breaks My Heart
0,What I Know,7,Ed Askew,0,Folk,[17],[17],459,38,Rimbaud
0,Blue Piano,7,Ed Askew,1,Folk,[17],[17],1945,772,Baby Come Home
0,What I Know,7,Ed Askew,1,Folk,[17],[17],870,150,Big City
0,What I Know,7,Ed Askew,0,Folk,[17],[17],682,46,Palomino
0,Blue Piano,7,Ed Askew,2,Folk,[17],[17],1737,603,Song For R
0,Blue Piano,7,Ed Askew,0,Folk,[17],[17],1954,688,My Dream
0,What I Know,7,Ed Askew,0,Folk,[17],[17],556,69,What Crow Saw
0,What I Know,7,Ed Askew,2,Folk,[17],[17],510,87,Bella Crane
0,Blue Piano,7,Ed Askew,0,Folk,[17],[17],2811,609,Piano 3
0,Blue Piano,7,Ed Askew,0,Folk,[17],[17],1239,397,Safe Harbor
0,Blue Piano,7,Ed Askew,0,Folk,[17],[17],1276,351,Safe Harbor
0,Blue Piano,7,Ed Askew,1,Folk,[17],[17],3706,1824,In the French Court
0,Blue Piano,7,Ed Askew,3,Folk,[17],[17],16106,1714,In America
0,Blue Piano,7,Ed Askew,2,Folk,[17],[17],2299,551,When I Arive
1,Au,11,Au,10,Pop,[10],[10],2828,1148,Boute
0,Bad News Bats,0,Bad News Bats,4,Rock,[25],"[25, 12]",2764,1351,W.T.M.
0,Bad News Bats,0,Bad News Bats,2,Rock,[25],"[25, 12]",2467,1366,Don't Run With Pizzas
0,Bersa Discos #8,5,Banana Clipz,24,NaN,"[15, 92]","[2, 92, 15]",11240,7668,"Push Am (Left, Right)"
3,6,14,Barnacled,7,Jazz,[4],[4],1391,1276,Garbage and (Garbage and Fire)
3,6,14,Barnacled,1,Jazz,[4],[4],1394,1277,France Attacks
1,Open Relationship,27,Bird Names,7,NaN,"[12, 76]","[10, 12, 76]",1650,1328,Referents
0,On Opaque Things,27,Bird Names,3,Rock,[12],[12],1549,532,A New Map for Kissing
0,Wooden Lake Sexual Diner,27,Bird Names,2,NaN,"[12, 76]","[10, 12, 76]",1345,747,Ghosts
0,On Opaque Things,27,Bird Names,3,Rock,[12],[12],1470,425,The Indefinite Time Yet to Come
0,Wooden Lake Sexual Diner,27,Bird Names,3,NaN,"[12, 76]","[10, 12, 76]",875,594,Smoovebiz
0,Wooden Lake Sexual Diner,27,Bird Names,5,NaN,"[12, 76]","[10, 12, 76]",1122,855,Nobody Loves Me
0,On Opaque Things,27,Bird Names,2,Rock,[12],[12],512,374,It's Becoming a Stranger
1,Open Relationship,27,Bird Names,4,NaN,"[12, 76]","[10, 12, 76]",1647,1045,New Life
1,Open Relationship,27,Bird Names,4,NaN,"[12, 76]","[10, 12, 76]",2418,744,Masters Of Enjoyment
0,On Opaque Things,27,Bird Names,24,Rock,[12],[12],5585,4495,We Want to be Old
1,Black Elk,3,Black Elk,3,Rock,[31],"[12, 31]",2864,2311,Toggle
1,Black Elk,3,Black Elk,3,Rock,[31],"[12, 31]",2177,766,My Lil'
1,Black Elk,3,Black Elk,2,Rock,[31],"[12, 31]",1779,1350,Eyebone
1,I,35,Black Pus,0,Experimental,[32],"[32, 38]",255,193,Dildoughnuts
1,4: All Aboard the Magic Pus,35,Black Pus,4,Experimental,[32],"[32, 38]",670,593,Land of the Lost
1,III: Metamorpus,35,Black Pus,1,Experimental,[32],"[32, 38]",332,247,Swampus
1,II,35,Black Pus,1,Experimental,[32],"[32, 38]",220,129,The Devilhellipers
1,III: Metamorpus,35,Black Pus,1,Experimental,[32],"[32, 38]",329,233,Kind Companion
1,4: All Aboard the Magic Pus,35,Black Pus,11,Experimental,[32],"[32, 38]",2202,2114,Juggernaut
1,II,35,Black Pus,1,Experimental,[32],"[32, 38]",229,126,New Atlantis A
1,I,35,Black Pus,0,Experimental,[32],"[32, 38]",229,136,Translucent Human
1,III: Metamorpus,35,Black Pus,1,Experimental,[32],"[32, 38]",339,324,Earth aint Enuff
1,I,35,Black Pus,0,Experimental,[32],"[32, 38]",256,167,Berserk is the Best
1,II,35,Black Pus,2,Experimental,[32],"[32, 38]",281,169,Magic Bullet
1,4: All Aboard the Magic Pus,35,Black Pus,4,Experimental,[32],"[32, 38]",456,330,Body on the Tide
1,I,35,Black Pus,0,Experimental,[32],"[32, 38]",406,276,The Foot Is Stronger Than The Arm
1,Green Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",159,89,Splish spladdy
1,Stripey Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",241,167,Woo You
1,Gold Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",2873,2605,Disney on Ice
1,Green Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",131,50,The Prime Four
1,Green Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",289,190,Out on the farm
1,Stripey Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",345,260,The Hotel
1,Green Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",147,56,Where are all the people
1,Gold Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",194,109,Going Down to Soho
1,Stripey Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",1597,1484,Tropical Holiday Time
1,Green Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",833,748,Tropical Sheep
1,Stripey Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",141,70,Think Things Of You
1,Green Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",142,69,Daisey Chains
1,Gold Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",383,297,Interference
1,Gold Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",156,90,Itching in my pants
1,Stripey Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",322,241,Very Nice
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",209,153,1-2-3-4
1,Green Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",422,325,Complete Shakespeare
1,Gold Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",406,309,The Natives are Restless
1,Stripey Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",693,487,Heart Attack
1,Green Collection,20,Blah Blah Blah,1,Rock,[89],"[89, 12, 25]",386,304,Shopping Bag
1,Green Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",171,94,Crocodile Song
1,Stripey Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",185,106,I just don't know
1,Gold Collection,20,Blah Blah Blah,2,Rock,[89],"[89, 12, 25]",300,217,Liquidizing Chickens
1,Stripey Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",286,228,Burn
1,Stripey Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",234,164,Hands Beckoning
1,Stripey Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",328,254,Central Park
1,Green Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",146,58,White Man
1,Green Collection,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",187,105,Weatherman
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",139,76,39th floor Club
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",423,322,Blah intro
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",405,388,Blahpunk
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,1,Rock,[89],"[89, 12, 25]",303,225,Bored
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",226,144,Breeder
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",279,195,Brian's Garage
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",196,160,Cabages in the sunset
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",177,118,Chimpanzees disease
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",363,281,Circles in London
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",1498,1629,Count Dracula's castle
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",240,165,Crash
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",5683,192,Cybernetics
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",190,111,Denver
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",326,251,Ding dang (skat)
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",252,181,Disco Ghoul
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",202,71,Down in the pits again
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",132,97,Excretia
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",191,125,Garden of Eden
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,1,Rock,[89],"[89, 12, 25]",168,90,Gotta Go
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,1,Rock,[89],"[89, 12, 25]",269,150,Hippopotamus
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",609,505,In Arabia
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,1,Rock,[89],"[89, 12, 25]",212,139,In my Grandfather's Clock
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,1,Rock,[89],"[89, 12, 25]",186,108,Julie Andrews
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",133,65,Just you wait and see
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",179,144,Little White Boxes
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,1,Rock,[89],"[89, 12, 25]",215,165,Mr Mystery
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",294,182,My House
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",130,62,My Room
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,1,Rock,[89],"[89, 12, 25]",332,255,Radio Jazz with Mr Rhodes
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",140,65,Red coated young girlfriend
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",131,59,Starsigns
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",184,98,Sugar Bowl
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",113,47,Sunspot activity
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",445,326,The Sound of Music
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",141,67,The Swamp
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",139,55,There goes my greenhouse
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,1,Rock,[89],"[89, 12, 25]",3572,2281,Vampires
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",2366,1551,Whistle while you work
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",173,71,Why didn't Nero?
1,30th Anniversary Blah Blah Blah,20,Blah Blah Blah,0,Rock,[89],"[89, 12, 25]",114,47,vermalderhide
3,Summer Set,11,Blanketship,3,Electronic,[15],[15],1343,351,Baja Jones
3,Summer Set,11,Blanketship,4,Electronic,[15],[15],1788,843,Lucky 45
3,Summer Set,11,Blanketship,2,Electronic,[15],[15],1630,289,Clapartroach
3,Summer Set,11,Blanketship,2,Electronic,[15],[15],1387,294,I wish I wish
0,Boogie Witch,0,Boogie Witch,0,Rock,[12],[12],866,424,"Untitled Boogie (edit), Transfiguration Boogie, Boogie Hole"
0,Boogie Witch,0,Boogie Witch,0,Rock,[12],[12],689,280,Boogie Hole
0,Boogie Witch,0,Boogie Witch,0,Rock,[12],[12],619,244,Transfiguration Boogie
1,On the Back of a Dying Beast: Volume 1,8,Borful Tang,1,Electronic,[15],[15],808,188,Juggernaut Soliloquy
1,On the Back of a Dying Beast: Volume 1,8,Borful Tang,1,Electronic,[15],[15],3102,427,The Tides Of Land
0,Root,8,Borful Tang,2,Electronic,[15],[15],1957,587,Borful Tang Loves Nomeansno
0,Root,8,Borful Tang,2,Electronic,[15],[15],1876,520,ELI
1,On the Back of a Dying Beast: Volume 1,8,Borful Tang,1,Electronic,[15],[15],2864,587,Electronic Interlude VI
1,On the Back of a Dying Beast: Volume 1,8,Borful Tang,1,Electronic,[15],[15],2163,157,Modesto
1,On the Back of a Dying Beast: Volume 1,8,Borful Tang,1,Electronic,[15],[15],1508,55,Oh Kap Soon
0,split with Sunshine Militant Children's Hour,8,Borful Tang,1,Electronic,[15],[15],2582,558,Roach
1,On the Back of a Dying Beast: Volume 1,8,Borful Tang,2,Electronic,[15],[15],1478,392,Wonder Inn
0,Root,8,Borful Tang,4,Electronic,[15],[15],1458,378,Majestic Shuffle
1,On the Back of a Dying Beast: Volume 1,8,Borful Tang,2,Electronic,[15],[15],1369,148,ELI
0,Root,8,Borful Tang,3,Electronic,[15],[15],713,177,Soundclash At Wonder Inn (ft. Qulfus)
0,split with Sunshine Militant Children's Hour,8,Borful Tang,1,Electronic,[15],[15],1093,254,The Tides Of Land
0,Root,8,Borful Tang,1,Electronic,[15],[15],754,213,Lost on the Eastern Side of the Island
0,Root,8,Borful Tang,1,Electronic,[15],[15],625,185,Orp
0,Root,8,Borful Tang,2,Electronic,[15],[15],454,140,John And Mary - The Meeting
0,Root,8,Borful Tang,17,Electronic,[15],[15],3930,3737,John And Mary - The Restaurant
0,Root,8,Borful Tang,1,Electronic,[15],[15],996,243,Smyrna Snow Walk
1,The Definitive Host,14,Brian Joseph Davis,1,Experimental,[1],"[1, 38]",477,194,Eula
2,Original Soundtrack: Work for 20 DVD Players,14,Brian Joseph Davis,10,NaN,"[1, 18]","[1, 18, 1235, 38]",7458,3890,Track1
1,The Definitive Host,14,Brian Joseph Davis,1,Experimental,[1],"[1, 38]",461,168,The Franklin Mint Job
2,Original Soundtrack: Work for 20 DVD Players,14,Brian Joseph Davis,2,NaN,"[1, 18]","[1, 18, 1235, 38]",4479,2513,Track2
1,The Definitive Host,14,Brian Joseph Davis,0,Experimental,[1],"[1, 38]",367,117,"Il bouno, il bruto, il skronko"
2,Original Soundtrack: Work for 20 DVD Players,14,Brian Joseph Davis,4,NaN,"[1, 18]","[1, 18, 1235, 38]",4306,2522,Track3
2,Original Soundtrack: Work for 20 DVD Players,14,Brian Joseph Davis,4,NaN,"[1, 18]","[1, 18, 1235, 38]",5532,3092,Track4
1,The Definitive Host,14,Brian Joseph Davis,3,Experimental,[1],"[1, 38]",4323,3562,The Ambient Honky
2,Original Soundtrack: Work for 20 DVD Players,14,Brian Joseph Davis,2,Experimental,[1],"[1, 38]",1409,648,Track5
1,The Definitive Host,14,Brian Joseph Davis,0,Experimental,[1],"[1, 38]",883,117,An Audio Walk Through Greater Newcastle
1,The Definitive Host,14,Brian Joseph Davis,0,Experimental,[1],"[1, 38]",515,118,1913
1,The Definitive Host,14,Brian Joseph Davis,1,Experimental,[1],"[1, 38]",924,100,1933
1,The Definitive Host,14,Brian Joseph Davis,0,Experimental,[1],"[1, 38]",647,72,1963/2005
1,The Definitive Host,14,Brian Joseph Davis,0,Experimental,[1],"[1, 38]",658,82,1966
1,The Definitive Host,14,Brian Joseph Davis,0,Experimental,[1],"[1, 38]",1043,57,1977
1,The Definitive Host,14,Brian Joseph Davis,1,Experimental,[1],"[1, 38]",1056,57,1984
1,The Definitive Host,14,Brian Joseph Davis,0,Experimental,[1],"[1, 38]",1600,47,1987
1,The Definitive Host,14,Brian Joseph Davis,0,Experimental,[1],"[1, 38]",1953,45,1988
1,The Definitive Host,14,Brian Joseph Davis,0,Experimental,[1],"[1, 38]",1873,57,1989
1,The Definitive Host,14,Brian Joseph Davis,1,Experimental,[1],"[1, 38]",683,181,voice over
1,The Definitive Host,14,Brian Joseph Davis,0,Experimental,[1],"[1, 38]",625,122,Yesterduh (Joe Meek)
1,The Definitive Host,14,Brian Joseph Davis,1,Experimental,[1],"[1, 38]",1238,82,Minima Medley
1,The Definitive Host,14,Brian Joseph Davis,0,Experimental,[1],"[1, 38]",989,280,All you get from love is 22 Love Songs
0,Over In A Big Way,9,Bronhard/Going/Public,0,NaN,"[4, 15, 38]","[4, 38, 15]",2583,905,The Beats
0,Over In A Big Way,9,Bronhard/Going/Public,2,NaN,"[4, 15, 38]","[4, 38, 15]",1246,295,Veruca Assault
0,Over In A Big Way,9,Bronhard/Going/Public,0,NaN,"[4, 15, 38]","[4, 38, 15]",864,158,ID4 Congress
0,Over In A Big Way,9,Bronhard/Going/Public,1,NaN,"[4, 15, 38]","[4, 38, 15]",1495,116,Bastard Boise
0,Over In A Big Way,9,Bronhard/Going/Public,0,NaN,"[4, 15, 38]","[4, 38, 15]",1575,522,Jean-Michel
0,Over In A Big Way,9,Bronhard/Going/Public,0,NaN,"[4, 15, 38]","[4, 38, 15]",1182,127,Lyftoff
0,Over In A Big Way,9,Bronhard/Going/Public,1,NaN,"[4, 15, 38]","[4, 38, 15]",1621,320,Media Library
0,Over In A Big Way,9,Bronhard/Going/Public,0,NaN,"[4, 15, 38]","[4, 38, 15]",1082,222,Back/Forth
0,Over In A Big Way,9,Bronhard/Going/Public,0,NaN,"[4, 15, 38]","[4, 38, 15]",1267,353,Registered Sax Offender II
0,Over In A Big Way,9,Bronhard/Going/Public,0,NaN,"[4, 15, 38]","[4, 38, 15]",2226,892,Burlington Goat Factory
0,Over In A Big Way,9,Bronhard/Going/Public,0,NaN,"[4, 15, 38]","[4, 38, 15]",1121,195,Excuses
0,Over In A Big Way,9,Bronhard/Going/Public,0,NaN,"[4, 15, 38]","[4, 38, 15]",1052,245,Killer Murderer
0,Over In A Big Way,9,Bronhard/Going/Public,1,NaN,"[4, 15, 38]","[4, 38, 15]",1491,341,Casualist Conformativity
1,Hunt Like Devil EP,40,CAVE,11,Rock,[36],"[36, 12]",1824,1241,Hunt Like Devil 4
1,Butthash,40,CAVE,45,Rock,[36],"[36, 12]",11132,7765,Machines and Muscles
5,blissblood.com,16,Cantonement Jazz Band,26,NaN,"[3, 37]","[3, 4, 37]",8950,4833,Bessemer
5,blissblood.com,16,Cantonement Jazz Band,24,NaN,"[3, 37]","[3, 4, 37]",8485,4126,Has Been Blues
5,blissblood.com,16,Cantonement Jazz Band,18,NaN,"[3, 37]","[3, 4, 37]",8026,4096,I'll Be Blue
5,blissblood.com,16,Cantonement Jazz Band,27,NaN,"[3, 37]","[3, 4, 37]",13845,4461,The Way I Feel Today
5,blissblood.com,16,Cantonement Jazz Band,17,NaN,"[3, 37]","[3, 4, 37]",9670,5106,Thinking Of You
0,Lingua Ignota,4,Celesteville,0,Rock,[27],"[27, 12]",319,85,Asterism
0,Birdlike Movements,4,Celesteville,0,Rock,"[27, 66]","[66, 27, 12]",871,207,Let's Climb a Mossy Hill
0,Vast and Sad,4,Celesteville,0,Rock,"[25, 27]","[25, 27, 12]",631,176,Vast and Sad (KPSU)
0,Kohoutek,4,Celesteville,0,Rock,"[27, 66]","[66, 27, 12]",201,28,Waverly
0,Birdlike Movements,4,Celesteville,0,Rock,"[27, 66]","[66, 27, 12]",374,82,Cloud Light
